MovieID,Title,avg_rating,num_ratings
1,Toy Story (1995),4.132492113564669,1268
2,Jumanji (1995),3.1756440281030445,427
3,Grumpier Old Men (1995),3.0594900849858355,353
4,Waiting to Exhale (1995),2.6956521739130435,92
5,Father of the Bride Part II (1995),3.0414201183431953,169
6,Heat (1995),3.835314091680815,589
7,Sabrina (1995),3.4270462633451957,281
8,Tom and Huck (1995),2.9069767441860463,43
9,Sudden Death (1995),2.642857142857143,70
10,GoldenEye (1995),3.5650557620817844,538
11,"American President, The (1995)",3.7848101265822787,632
12,Dracula: Dead and Loving It (1995),2.35,100
13,Balto (1995),3.1403508771929824,57
14,Nixon (1995),3.5714285714285716,98
15,Cutthroat Island (1995),2.3854166666666665,96
16,Casino (1995),3.7852193995381063,433
17,Sense and Sensibility (1995),3.9826923076923078,520
18,Four Rooms (1995),3.237623762376238,101
19,Ace Ventura: When Nature Calls (1995),2.5346938775510206,245
20,Money Train (1995),2.5142857142857142,105
21,Get Shorty (1995),3.622141997593261,831
22,Copycat (1995),3.3215859030837005,227
23,Assassins (1995),2.8378378378378377,74
24,Powder (1995),3.150259067357513,386
25,Leaving Las Vegas (1995),3.6175972927241964,591
26,Othello (1995),3.610169491525424,59
27,Now and Then (1995),2.972972972972973,37
28,Persuasion (1995),4.05,100
29,"City of Lost Children, The (1995)",4.063025210084033,238
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.739130434782609,46
31,Dangerous Minds (1995),3.1923076923076925,78
32,Twelve Monkeys (1995),3.941885964912281,912
33,Wings of Courage (1995),3.0,4
34,Babe (1995),3.9073724007561434,1058
35,Carrington (1995),3.35,40
36,Dead Man Walking (1995),3.9523809523809526,609
37,Across the Sea of Time (1995),3.6666666666666665,6
38,It Takes Two (1995),2.5,20
39,Clueless (1995),3.631704410011919,839
40,"Cry, the Beloved Country (1995)",4.117647058823529,17
41,Richard III (1995),3.9508196721311477,122
42,Dead Presidents (1995),2.8421052631578947,133
43,Restoration (1995),3.5588235294117645,102
44,Mortal Kombat (1995),2.8155339805825244,206
45,To Die For (1995),3.370919881305638,337
46,How to Make an American Quilt (1995),3.0925925925925926,108
47,Seven (Se7en) (1995),4.103174603174603,756
48,Pocahontas (1995),3.012448132780083,241
49,When Night Is Falling (1995),3.5625,16
50,"Usual Suspects, The (1995)",4.535650623885918,1122
52,Mighty Aphrodite (1995),3.603921568627451,255
53,Lamerica (1994),4.666666666666667,3
54,"Big Green, The (1995)",2.4285714285714284,28
55,Georgia (1995),2.8260869565217392,23
